Student_ID,University,Department,Semester,Gender,Age,CGPA,Java,Python,DSA,DBMS,OS,CN,Web_Development,SQL,Git,Cloud,AI_ML,Communication,Aptitude,Teamwork,Internship,Certifications,Resume_Score,Coding_Test_Score,Mock_Interview_Score,Curriculum_Coverage,Industry_Skill_Level,Skill_Gap_Score,Placement,Company,Package_LPA,Placement_Probability
S0050,University A,CSE,8,Female,24,8.92,5,5,1,4,5,2,5,1,5,3,4,1,1,4,No,3,93,46,76,3.29,3.43,1.57,Yes,Deloitte,14.19,0.9
S0051,University B,IT,8,Female,21,6.15,2,3,5,5,5,3,4,5,5,3,4,5,5,4,Yes,6,94,47,99,4.14,3.86,1.14,Yes,Amazon,13.32,0.96
S0052,University A,CSE-DS,8,Male,23,7.32,4,4,4,1,3,4,3,3,3,2,4,1,1,1,Yes,3,56,87,92,3.14,3.14,1.86,Yes,Wipro,9.09,0.95
S0053,University B,IT,8,Male,24,7.06,4,1,3,5,3,3,1,5,5,2,2,4,2,1,No,6,85,63,52,3.43,3.0,2.0,Yes,Microsoft,14.94,0.89
S0054,University C,CSE-AI,8,Female,22,9.59,3,1,2,3,3,3,3,1,2,2,5,4,1,2,Yes,0,97,73,58,2.57,2.71,2.29,Yes,Deloitte,9.14,0.99
S0055,University D,CSE,8,Female,24,8.68,5,5,1,1,2,2,5,1,1,3,4,4,4,5,No,3,67,53,93,2.43,3.29,1.71,Yes,Cognizant,11.19,0.95
S0056,University B,CSE-DS,8,Male,23,7.64,3,1,2,4,5,1,1,2,3,2,2,3,3,3,Yes,0,81,87,72,2.57,2.29,2.71,Yes,IBM,6.14,0.89
S0057,University A,IT,8,Male,21,9.29,1,4,1,4,1,3,5,4,5,4,4,3,1,4,Yes,2,60,91,84,2.71,3.14,1.86,Yes,Cognizant,10.4,0.99
S0058,University B,CSE,8,Male,22,7.42,4,5,1,4,3,3,2,3,2,1,5,1,5,5,Yes,6,72,62,91,2.86,2.71,2.29,Yes,Wipro,17.87,0.87
S0059,University A,CSE-DS,8,Male,22,6.37,5,2,1,2,4,4,5,5,4,5,5,3,3,2,No,0,80,68,85,3.71,3.57,1.43,Yes,Capgemini,8.04,0.8
S0060,University B,CSE,8,Female,20,7.53,1,1,3,3,1,1,5,5,5,4,4,5,5,1,No,6,86,81,57,2.71,3.29,1.71,Yes,Deloitte,8.32,0.94
S0061,University C,CSE,8,Female,20,9.07,3,1,5,2,1,2,4,4,5,5,5,2,3,3,No,3,76,89,66,3.0,3.71,1.29,Yes,TCS,13.68,1.0
S0062,University A,IT,8,Female,20,7.96,4,3,3,5,2,3,1,5,2,3,3,4,2,5,Yes,2,85,64,86,3.29,3.14,1.86,Yes,Wipro,15.37,1.0
S0063,University D,CSE-AI,8,Male,21,7.1,2,2,3,4,2,2,2,2,1,3,1,5,5,5,Yes,5,71,96,94,2.43,2.43,2.57,Yes,Microsoft,12.77,1.0
S0064,University D,IT,8,Female,23,9.16,5,2,4,1,4,3,2,4,5,3,4,2,5,2,No,6,100,70,98,3.29,3.57,1.43,Yes,Microsoft,6.41,1.0
S0065,University D,CSE,8,Male,23,7.71,4,2,2,5,2,3,1,4,3,5,1,5,1,3,Yes,6,60,57,73,3.0,3.14,1.86,Yes,Wipro,17.08,1.0
S0066,University B,IT,8,Female,24,9.39,1,4,1,4,5,3,2,4,1,3,2,1,3,1,No,6,59,48,47,2.86,1.86,3.14,Yes,Deloitte,7.8,0.83
S0067,University D,CSE,8,Male,23,5.52,1,1,3,2,2,5,5,5,4,1,3,2,3,1,Yes,1,76,80,95,3.29,2.14,2.86,No,,0.0,0.72
S0068,University A,IT,8,Female,20,8.13,1,5,5,2,2,3,4,1,5,3,2,5,4,2,Yes,4,73,44,78,2.57,3.71,1.29,Yes,Amazon,11.66,1.0
S0069,University D,CSE-AI,8,Male,20,8.3,3,3,1,3,1,3,2,1,5,3,2,1,3,5,No,6,91,51,98,2.0,2.57,2.43,Yes,Deloitte,15.19,0.83
S0070,University C,CSE-DS,8,Male,22,8.65,4,1,3,2,1,2,1,3,3,5,4,5,4,3,Yes,6,91,52,63,2.29,3.57,1.43,Yes,TCS,8.85,1.0
S0071,University C,IT,8,Female,21,7.42,4,4,4,3,2,4,4,3,5,3,1,4,1,4,Yes,4,68,60,51,3.43,3.57,1.43,Yes,Capgemini,4.7,1.0
S0072,University A,CSE-AI,8,Female,22,8.53,3,4,1,3,5,4,3,1,1,4,3,5,2,1,Yes,6,88,83,95,2.86,3.0,2.0,Yes,Wipro,10.07,1.0
S0073,University D,IT,8,Male,22,7.18,5,1,5,2,4,3,3,4,1,5,2,5,3,4,No,5,67,55,52,3.71,3.43,1.57,Yes,Wipro,3.89,1.0
S0074,University B,CSE-AI,8,Female,24,8.91,4,2,5,3,4,2,1,2,1,4,2,4,1,3,No,5,54,75,79,3.0,3.14,1.86,Yes,Capgemini,7.86,1.0
S0075,University D,CSE,8,Male,22,6.49,2,2,2,4,1,3,5,5,3,4,5,2,5,1,Yes,2,75,85,91,3.14,2.86,2.14,Yes,IBM,10.68,0.84
S0076,University C,CSE-DS,8,Male,22,8.33,4,4,5,3,2,5,5,2,2,4,5,1,1,5,Yes,2,60,50,65,3.71,3.57,1.43,Yes,Accenture,17.52,0.98
S0077,University A,CSE-DS,8,Male,24,6.36,5,3,2,3,5,5,1,5,2,5,5,2,2,5,No,6,86,42,97,3.71,3.43,1.57,Yes,Infosys,16.46,0.84
S0078,University C,CSE-DS,8,Female,21,7.33,1,4,5,3,3,4,2,4,3,4,1,1,2,4,No,3,79,53,66,3.14,2.71,2.29,Yes,Cognizant,12.6,0.84
S0079,University C,CSE-DS,8,Male,21,8.85,5,5,1,3,2,4,1,3,4,2,2,1,1,3,No,6,89,66,60,2.71,2.86,2.14,Yes,Wipro,17.94,0.94
S0080,University C,CSE,8,Male,23,7.69,5,4,4,3,4,1,1,4,5,4,2,2,5,3,Yes,0,68,71,83,3.14,3.71,1.29,Yes,Deloitte,16.74,0.99
S0081,University A,CSE-AI,8,Male,23,6.09,3,3,4,3,1,4,1,5,5,2,3,5,3,1,No,4,78,88,80,3.0,3.57,1.43,Yes,Microsoft,7.7,0.92
S0082,University C,CSE-DS,8,Male,23,7.14,3,5,3,2,2,5,5,4,5,1,1,1,2,3,No,4,79,49,83,3.43,2.71,2.29,Yes,Wipro,16.9,0.79
S0083,University D,CSE-DS,8,Male,20,9.86,3,5,3,5,5,5,4,5,3,4,1,3,3,1,No,4,69,90,91,4.29,3.14,1.86,Yes,TCS,16.58,1.0
S0084,University D,CSE,8,Male,24,8.07,2,5,5,4,2,2,1,5,1,2,1,4,3,4,Yes,3,94,53,71,3.0,2.86,2.14,Yes,Microsoft,11.03,1.0
S0085,University C,CSE-AI,8,Female,22,6.41,3,4,5,4,3,2,4,5,3,5,3,3,5,4,Yes,1,67,75,64,3.71,3.71,1.29,Yes,Capgemini,6.87,0.97
S0086,University C,CSE-DS,8,Male,20,7.61,5,3,3,1,5,5,4,4,3,2,3,1,3,1,No,3,91,56,92,3.86,2.86,2.14,Yes,Accenture,10.69,0.85
S0087,University D,CSE-AI,8,Female,22,8.21,5,2,2,1,5,2,2,1,1,4,3,4,1,2,Yes,4,60,66,86,2.57,3.0,2.0,Yes,Deloitte,17.53,1.0
S0088,University C,IT,8,Female,21,6.76,1,1,5,2,5,1,2,4,2,1,4,4,2,3,Yes,0,69,76,83,2.86,2.57,2.43,Yes,Cognizant,5.11,0.86
S0089,University C,CSE,8,Female,20,9.24,4,3,2,1,3,2,4,3,2,1,3,3,5,2,Yes,4,90,97,70,2.71,2.57,2.43,Yes,Amazon,15.9,1.0
S0090,University D,CSE-DS,8,Male,23,6.31,2,4,3,2,1,3,4,2,4,3,3,3,5,5,Yes,2,91,63,89,2.43,3.14,1.86,Yes,Infosys,7.04,0.87
S0091,University A,IT,8,Female,20,8.52,3,1,3,3,5,2,2,2,4,2,4,5,3,4,No,6,84,91,87,2.86,3.14,1.86,Yes,Accenture,15.88,1.0
S0092,University D,IT,8,Male,24,9.54,1,1,5,5,2,5,5,2,2,3,5,4,1,2,No,0,82,68,96,3.57,3.0,2.0,Yes,Wipro,4.33,0.96
S0093,University D,CSE-DS,8,Female,23,7.53,3,1,4,3,1,2,5,1,1,4,3,1,5,1,Yes,3,52,58,71,2.71,2.43,2.57,Yes,Wipro,6.2,0.87
S0094,University D,CSE-AI,8,Male,23,9.33,4,4,1,5,2,3,1,2,5,4,5,2,2,1,Yes,2,79,83,91,2.57,3.57,1.43,Yes,Amazon,11.67,1.0
S0095,University B,CSE,8,Male,24,7.02,3,2,1,1,4,5,1,2,2,1,1,5,1,4,Yes,1,97,42,70,2.43,2.14,2.86,Yes,Amazon,10.08,0.82
S0096,University D,CSE,8,Female,23,9.87,2,5,3,5,5,3,2,3,2,5,2,4,3,3,Yes,4,87,96,92,3.29,3.29,1.71,Yes,IBM,17.17,1.0
S0097,University B,CSE-DS,8,Male,22,8.96,3,4,4,2,3,4,2,5,4,2,2,3,2,4,Yes,4,76,66,80,3.29,3.14,1.86,Yes,IBM,11.45,1.0
S0098,University B,CSE-AI,8,Male,23,8.35,4,3,1,5,2,1,3,4,5,5,1,1,2,5,Yes,3,63,95,66,2.86,2.86,2.14,Yes,TCS,8.05,0.97
S0099,University B,CSE-DS,8,Female,23,9.52,5,2,4,2,5,3,3,4,4,5,3,3,3,3,No,3,56,91,91,3.71,3.71,1.29,Yes,Cognizant,10.54,1.0
S0100,University D,IT,8,Male,22,5.7,2,2,1,3,5,5,5,4,3,2,2,3,2,4,Yes,3,85,81,88,3.57,2.14,2.86,Yes,Deloitte,8.56,0.78
S0101,University D,IT,8,Male,20,6.24,5,4,2,5,1,5,1,1,1,1,4,2,2,1,Yes,0,63,72,74,2.86,2.71,2.29,Yes,Microsoft,9.1,0.82
S0102,University C,IT,8,Male,22,7.84,4,1,1,5,3,5,3,1,5,4,2,1,1,5,Yes,1,62,79,78,3.14,2.57,2.43,Yes,Cognizant,7.29,0.85
S0103,University A,CSE,8,Male,21,9.72,4,5,2,2,3,1,1,1,4,4,4,5,4,1,Yes,5,60,45,76,2.0,4.0,1.0,Yes,Cognizant,16.18,1.0
S0104,University B,CSE-AI,8,Female,24,9.47,5,4,3,1,1,3,5,5,1,2,3,1,2,5,Yes,6,95,92,70,3.29,2.71,2.29,Yes,Capgemini,17.43,1.0
S0105,University B,CSE-DS,8,Female,23,6.96,2,1,5,3,1,1,4,2,1,3,5,5,5,4,No,0,90,57,95,2.57,3.14,1.86,Yes,Deloitte,18.39,0.87
S0106,University D,CSE-DS,8,Female,20,6.32,5,4,1,5,3,2,1,1,3,2,4,2,4,3,No,0,55,40,64,2.57,3.0,2.0,No,,0.0,0.69
S0107,University B,CSE-AI,8,Female,21,6.08,2,4,4,5,5,5,4,1,1,1,3,5,1,5,No,6,74,40,63,3.71,2.86,2.14,Yes,Infosys,9.71,0.83
S0108,University A,CSE-AI,8,Female,20,6.11,3,3,4,2,1,2,4,3,4,3,4,1,3,3,Yes,5,90,71,83,2.71,3.14,1.86,Yes,Deloitte,12.75,0.88
S0109,University B,CSE-DS,8,Female,22,9.67,3,5,4,3,4,3,4,5,2,3,3,5,2,4,No,1,75,60,63,3.71,3.57,1.43,Yes,Deloitte,14.52,1.0
S0110,University C,CSE-AI,8,Female,21,9.09,4,3,1,5,2,5,5,2,5,1,4,2,4,3,Yes,6,100,90,71,3.43,2.86,2.14,Yes,Wipro,13.59,1.0
S0111,University A,IT,8,Female,23,8.65,4,1,4,5,4,5,4,5,5,4,5,1,3,5,Yes,0,99,55,87,4.43,3.43,1.57,Yes,Wipro,13.47,0.94
S0112,University A,CSE-AI,8,Female,22,5.97,1,3,2,5,5,5,5,5,2,4,3,4,4,5,Yes,2,51,70,51,4.0,2.71,2.29,Yes,Infosys,7.93,0.81
S0113,University B,CSE-AI,8,Female,24,7.01,2,5,4,3,4,1,4,4,3,1,3,1,1,1,No,5,56,83,96,3.14,2.71,2.29,Yes,Accenture,5.97,0.84
S0114,University A,CSE-AI,8,Female,22,7.38,4,2,4,2,2,4,4,1,5,2,4,5,4,4,Yes,5,63,53,62,3.0,3.71,1.29,Yes,Infosys,14.78,0.98
S0115,University A,CSE-AI,8,Female,20,6.37,1,3,4,5,3,5,4,5,4,5,1,3,3,4,Yes,6,93,85,96,3.86,3.0,2.0,Yes,Microsoft,7.96,0.97
S0116,University D,CSE,8,Female,20,6.55,1,2,3,2,5,4,4,5,2,5,4,4,2,4,Yes,4,60,71,63,3.43,3.0,2.0,Yes,Cognizant,5.6,0.9
S0117,University D,IT,8,Male,24,7.63,2,4,5,5,4,4,4,4,4,4,2,1,5,1,Yes,2,52,57,59,4.0,3.14,1.86,Yes,Wipro,11.56,0.91
S0118,University B,CSE-DS,8,Female,21,6.0,5,3,5,1,4,5,2,4,1,2,3,1,4,3,No,6,55,68,100,3.71,2.86,2.14,Yes,Accenture,18.41,0.85
S0119,University D,CSE,8,Female,21,8.21,2,2,1,5,3,5,3,5,5,2,3,3,3,5,No,6,82,97,88,3.43,2.57,2.43,Yes,Wipro,15.73,0.9
S0120,University D,IT,8,Female,24,8.59,2,2,2,3,2,4,4,2,5,3,4,4,4,1,Yes,3,82,87,62,2.71,3.14,1.86,Yes,Cognizant,13.92,1.0
S0121,University A,CSE,8,Female,20,5.51,1,4,3,1,5,4,2,4,2,4,3,3,3,3,Yes,4,81,90,66,2.86,2.86,2.14,Yes,TCS,16.91,0.88
S0122,University B,IT,8,Male,20,6.05,2,4,4,1,4,2,2,3,2,3,1,3,3,1,No,5,91,50,48,2.57,2.71,2.29,Yes,Capgemini,9.45,0.83
S0123,University C,CSE-DS,8,Female,21,5.5,4,1,2,5,2,5,4,1,1,3,1,4,2,4,Yes,1,74,45,91,3.29,2.29,2.71,Yes,Infosys,15.59,0.77
S0124,University D,CSE-DS,8,Female,22,7.18,2,2,1,5,5,1,5,2,4,3,2,2,4,5,No,6,63,45,51,3.0,2.29,2.71,Yes,Infosys,5.6,0.73
S0125,University D,IT,8,Male,21,8.98,2,3,1,2,5,5,5,5,3,1,3,2,5,5,Yes,5,75,58,86,3.57,2.14,2.86,Yes,Accenture,4.32,0.89
S0126,University A,IT,8,Female,24,7.7,5,1,5,1,3,3,2,4,5,4,3,5,2,4,Yes,0,87,44,45,3.29,4.0,1.0,Yes,TCS,7.43,1.0
S0127,University C,IT,8,Male,20,8.88,4,4,1,5,5,5,2,3,1,3,1,5,2,2,No,3,87,80,93,3.57,2.71,2.29,Yes,Infosys,16.02,1.0
S0128,University C,CSE-AI,8,Female,20,6.58,4,1,4,5,5,1,3,2,1,1,2,1,2,4,No,4,83,90,97,3.43,2.0,3.0,Yes,Wipro,14.31,0.82
S0129,University A,CSE-AI,8,Male,20,8.89,1,3,4,3,5,1,3,5,1,4,4,5,3,1,No,6,86,50,68,3.14,3.14,1.86,Yes,Infosys,5.86,1.0
S0130,University A,CSE,8,Male,21,9.28,1,2,1,4,3,4,2,2,1,5,4,2,3,2,No,5,70,57,97,2.43,2.29,2.71,Yes,Cognizant,4.67,0.87
S0131,University B,CSE-AI,8,Male,20,9.04,1,4,1,4,3,3,3,1,5,4,1,3,2,3,No,5,89,55,74,2.29,2.71,2.29,Yes,Deloitte,9.02,0.9
S0132,University D,CSE-DS,8,Female,20,9.6,1,2,5,3,1,3,1,4,3,1,2,5,2,4,No,0,59,85,62,2.57,2.71,2.29,Yes,Accenture,4.9,0.99
S0133,University B,CSE,8,Male,20,8.06,5,2,4,1,5,5,1,4,2,2,3,3,3,4,No,2,78,57,59,3.57,3.0,2.0,Yes,Accenture,4.62,0.92
S0134,University B,CSE,8,Male,22,6.22,4,3,4,1,5,3,2,4,3,4,3,1,1,2,No,6,95,84,83,3.29,3.14,1.86,Yes,Cognizant,4.1,0.9
S0135,University B,IT,8,Female,20,7.24,1,3,3,2,1,4,4,5,5,2,1,4,1,2,Yes,0,53,93,94,2.86,2.71,2.29,Yes,Wipro,18.24,0.89
S0136,University B,CSE-DS,8,Male,21,8.06,3,1,1,1,2,4,2,1,3,1,1,4,1,2,No,6,96,65,76,2.0,2.0,3.0,Yes,IBM,3.94,0.86
S0137,University B,CSE,8,Female,22,6.71,4,2,1,5,5,5,2,3,4,4,5,4,1,1,No,3,58,66,57,3.57,3.43,1.57,Yes,Amazon,13.14,0.82
S0138,University B,CSE,8,Male,21,7.61,4,3,5,5,3,4,3,2,1,3,5,2,1,3,Yes,6,80,73,67,3.71,3.29,1.71,Yes,Accenture,15.0,1.0
S0139,University C,CSE-AI,8,Female,20,6.67,1,2,5,4,3,2,2,2,5,3,3,5,1,3,Yes,4,62,93,96,2.71,3.43,1.57,Yes,Deloitte,16.72,0.99
S0140,University C,CSE,8,Female,23,5.9,2,5,2,1,5,4,1,3,5,2,2,3,2,3,Yes,0,59,77,90,2.57,3.0,2.0,Yes,Infosys,17.26,0.8
S0141,University A,IT,8,Male,21,8.08,3,3,3,2,2,4,4,3,2,5,5,3,2,5,Yes,3,69,86,89,3.0,3.43,1.57,Yes,Wipro,7.92,1.0
S0142,University C,CSE,8,Male,20,8.15,5,2,5,1,4,2,3,1,2,3,3,2,1,3,No,0,66,53,60,3.0,3.14,1.86,Yes,Cognizant,13.9,0.9
S0143,University A,CSE-DS,8,Male,23,7.2,4,2,4,4,4,3,5,4,1,4,5,2,2,4,Yes,6,52,58,46,4.0,3.14,1.86,Yes,Infosys,8.28,0.94
S0144,University C,CSE-DS,8,Female,21,6.21,1,5,1,3,5,5,4,1,4,2,5,4,2,1,Yes,2,63,52,71,2.86,3.14,1.86,Yes,Amazon,13.96,0.78
S0145,University D,CSE,8,Female,23,5.92,4,5,5,4,2,1,3,1,4,1,3,5,4,2,Yes,0,63,50,85,2.86,3.86,1.14,Yes,Infosys,7.88,0.91
S0146,University A,CSE-DS,8,Female,24,7.57,3,1,5,4,2,3,4,3,2,4,1,3,4,4,No,1,67,76,48,3.43,2.71,2.29,Yes,Infosys,5.77,0.91
S0147,University B,CSE-AI,8,Male,20,6.5,1,4,5,4,5,4,5,2,4,3,1,4,1,5,Yes,0,98,68,56,3.71,3.14,1.86,Yes,Wipro,17.74,0.93
S0148,University D,CSE,8,Female,21,7.36,4,2,2,5,3,3,1,1,4,5,4,5,3,3,No,6,50,90,89,2.71,3.71,1.29,Yes,Amazon,12.85,0.98
S0149,University D,CSE,8,Female,22,6.15,5,5,1,1,5,1,3,5,3,4,3,4,4,5,No,0,61,57,70,3.0,3.57,1.43,Yes,Microsoft,5.66,0.81
