PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
164,1,2,Passenger_164,male,49.0,2,0,TKT10164,143.58,,S
165,1,1,Passenger_165,male,,1,3,TKT10165,34.1,,Q
166,0,3,Passenger_166,male,44.0,2,0,TKT10166,42.5,,S
167,0,1,Passenger_167,male,62.0,3,0,TKT10167,94.17,,S
168,1,3,Passenger_168,female,28.0,3,3,TKT10168,10.28,,Q
169,1,3,Passenger_169,female,57.0,0,2,TKT10169,49.35,C64,Q
170,0,1,Passenger_170,male,57.0,0,0,TKT10170,254.15,,C
171,1,1,Passenger_171,male,12.0,0,3,TKT10171,140.68,,Q
172,0,3,Passenger_172,female,17.0,4,2,TKT10172,61.03,C134,Q
173,0,3,Passenger_173,female,61.0,1,3,TKT10173,58.83,C82,S
174,1,2,Passenger_174,female,42.0,1,3,TKT10174,40.02,C15,S
175,1,2,Passenger_175,female,16.0,2,0,TKT10175,144.34,,C
176,1,1,Passenger_176,male,27.0,4,1,TKT10176,153.06,,C
177,0,3,Passenger_177,male,48.0,3,1,TKT10177,58.44,,C
178,1,1,Passenger_178,female,,3,2,TKT10178,286.26,C190,C
179,1,2,Passenger_179,female,46.0,1,1,TKT10179,53.64,,C
180,1,3,Passenger_180,female,22.0,3,3,TKT10180,49.13,C126,Q
181,0,3,Passenger_181,male,56.0,0,0,TKT10181,44.18,,Q
182,1,3,Passenger_182,female,35.0,4,3,TKT10182,69.39,,S
183,1,3,Passenger_183,female,32.0,3,1,TKT10183,13.01,,S
184,1,3,Passenger_184,female,29.0,0,2,TKT10184,100.01,,C
185,0,3,Passenger_185,male,41.0,0,0,TKT10185,73.83,C145,S
186,0,3,Passenger_186,male,37.0,1,1,TKT10186,94.09,,Q
187,1,3,Passenger_187,female,26.0,2,0,TKT10187,100.23,C20,Q
188,1,3,Passenger_188,male,28.0,3,2,TKT10188,41.27,C129,Q
189,1,1,Passenger_189,female,38.0,4,3,TKT10189,302.98,C126,C
190,1,1,Passenger_190,female,35.0,4,3,TKT10190,32.49,,Q
191,1,1,Passenger_191,female,29.0,0,2,TKT10191,142.45,,C
192,1,1,Passenger_192,female,17.0,2,0,TKT10192,189.06,C186,C
193,1,1,Passenger_193,male,8.0,2,2,TKT10193,88.45,,S
194,0,2,Passenger_194,male,27.0,1,3,TKT10194,94.05,,S
195,0,3,Passenger_195,female,16.0,4,1,TKT10195,32.75,C82,Q
196,1,3,Passenger_196,female,35.0,2,3,TKT10196,30.7,,C
197,1,3,Passenger_197,male,52.0,1,3,TKT10197,83.51,C173,Q
198,1,2,Passenger_198,female,33.0,1,3,TKT10198,123.95,,S
199,1,3,Passenger_199,female,65.0,4,0,TKT10199,13.25,,S
200,1,3,Passenger_200,female,38.0,3,0,TKT10200,3.16,,C
201,0,3,Passenger_201,male,19.0,4,1,TKT10201,37.3,C22,S
202,0,2,Passenger_202,male,41.0,3,1,TKT10202,82.92,,C
203,1,3,Passenger_203,female,32.0,0,1,TKT10203,97.01,,Q
204,1,3,Passenger_204,female,23.0,1,1,TKT10204,67.47,C116,C
205,1,3,Passenger_205,female,27.0,0,0,TKT10205,83.7,,Q
206,1,3,Passenger_206,female,20.0,2,3,TKT10206,64.49,,Q
207,1,2,Passenger_207,female,12.0,1,2,TKT10207,21.03,,C
208,1,1,Passenger_208,female,18.0,4,1,TKT10208,176.19,C159,C
209,1,2,Passenger_209,female,20.0,4,3,TKT10209,65.77,,C
210,0,2,Passenger_210,male,30.0,2,1,TKT10210,85.45,C127,S
211,0,3,Passenger_211,male,48.0,2,0,TKT10211,79.67,,C
212,0,3,Passenger_212,male,45.0,0,3,TKT10212,28.91,C61,S
213,1,1,Passenger_213,female,24.0,1,1,TKT10213,252.92,,Q
214,0,3,Passenger_214,female,23.0,4,0,TKT10214,15.92,,C
215,0,3,Passenger_215,male,23.0,3,3,TKT10215,16.6,,Q
216,0,3,Passenger_216,male,,2,2,TKT10216,48.5,C188,C
217,0,2,Passenger_217,female,44.0,3,1,TKT10217,78.88,,C
218,1,1,Passenger_218,female,,3,0,TKT10218,44.3,C52,S
219,0,2,Passenger_219,male,47.0,2,2,TKT10219,15.75,,Q
220,1,3,Passenger_220,male,57.0,0,0,TKT10220,23.87,,
221,1,1,Passenger_221,female,44.0,0,1,TKT10221,123.57,,Q
222,1,1,Passenger_222,male,28.0,4,0,TKT10222,193.16,,S
223,1,1,Passenger_223,female,19.0,0,1,TKT10223,236.69,,Q
224,1,3,Passenger_224,male,4.0,1,2,TKT10224,81.6,C53,Q
225,0,3,Passenger_225,male,28.0,1,3,TKT10225,41.48,,S
226,1,1,Passenger_226,female,34.0,4,3,TKT10226,118.16,C19,
227,0,1,Passenger_227,male,29.0,3,2,TKT10227,198.75,,Q
228,1,1,Passenger_228,male,33.0,0,1,TKT10228,304.63,,S
229,1,3,Passenger_229,male,22.0,0,1,TKT10229,10.88,,C
230,1,1,Passenger_230,male,8.0,1,0,TKT10230,56.42,C43,C
231,1,3,Passenger_231,female,30.0,2,0,TKT10231,28.93,,Q
232,1,1,Passenger_232,male,26.0,0,0,TKT10232,76.2,,Q
233,1,3,Passenger_233,female,37.0,0,3,TKT10233,25.0,,S
234,0,3,Passenger_234,female,,0,1,TKT10234,24.87,,Q
235,1,2,Passenger_235,female,43.0,2,2,TKT10235,116.37,,S
236,1,3,Passenger_236,male,37.0,1,1,TKT10236,2.73,,C
237,0,3,Passenger_237,male,50.0,2,0,TKT10237,23.03,C37,S
238,0,3,Passenger_238,male,30.0,4,3,TKT10238,73.63,,C
239,0,3,Passenger_239,female,25.0,1,1,TKT10239,31.86,,C
240,0,3,Passenger_240,male,27.0,1,0,TKT10240,17.95,,S
241,0,1,Passenger_241,male,26.0,1,2,TKT10241,259.33,,Q
242,1,3,Passenger_242,female,40.0,2,2,TKT10242,85.8,,S
243,1,1,Passenger_243,male,5.0,0,0,TKT10243,260.55,,S
244,0,3,Passenger_244,male,35.0,0,0,TKT10244,103.88,,S
245,1,1,Passenger_245,female,45.0,4,3,TKT10245,257.89,,C
246,0,2,Passenger_246,male,34.0,1,0,TKT10246,97.16,,Q
247,0,1,Passenger_247,male,28.0,4,1,TKT10247,199.42,,Q
248,1,3,Passenger_248,female,37.0,4,2,TKT10248,41.73,,S
249,1,2,Passenger_249,female,35.0,4,1,TKT10249,152.27,,S
250,1,3,Passenger_250,male,15.0,3,2,TKT10250,97.55,C179,S
251,0,3,Passenger_251,male,47.0,1,3,TKT10251,57.43,,S
252,1,2,Passenger_252,female,24.0,4,1,TKT10252,126.61,C83,C
253,0,1,Passenger_253,male,27.0,4,2,TKT10253,300.42,,C
254,0,3,Passenger_254,male,22.0,3,2,TKT10254,19.87,C58,Q
255,1,1,Passenger_255,male,22.0,0,3,TKT10255,266.79,C157,Q
256,1,1,Passenger_256,male,50.0,0,1,TKT10256,112.46,,C
257,1,3,Passenger_257,female,39.0,2,2,TKT10257,82.42,C43,Q
258,1,2,Passenger_258,female,30.0,3,0,TKT10258,130.04,,Q
259,0,1,Passenger_259,male,40.0,2,1,TKT10259,278.18,,S
260,1,2,Passenger_260,female,31.0,1,3,TKT10260,27.18,,S
261,1,2,Passenger_261,female,28.0,4,3,TKT10261,26.64,C161,C
262,0,1,Passenger_262,male,36.0,1,2,TKT10262,305.47,,C
263,0,2,Passenger_263,male,19.0,1,3,TKT10263,9.96,,C
264,0,3,Passenger_264,male,,4,3,TKT10264,101.18,,Q
265,1,1,Passenger_265,female,41.0,0,1,TKT10265,43.09,C50,C
266,1,3,Passenger_266,female,19.0,3,1,TKT10266,103.89,,Q
267,0,2,Passenger_267,male,19.0,2,3,TKT10267,143.57,,S
268,1,1,Passenger_268,female,39.0,4,0,TKT10268,289.51,C89,Q
269,1,3,Passenger_269,female,19.0,1,2,TKT10269,43.22,,Q
270,1,1,Passenger_270,female,14.0,3,2,TKT10270,280.97,,S
271,0,2,Passenger_271,male,55.0,2,2,TKT10271,114.72,,Q
272,1,3,Passenger_272,female,58.0,0,1,TKT10272,8.78,C146,
273,0,3,Passenger_273,male,35.0,2,1,TKT10273,30.05,,C
274,1,3,Passenger_274,female,20.0,1,3,TKT10274,61.99,,C
275,0,3,Passenger_275,male,34.0,1,1,TKT10275,68.17,,Q
276,0,3,Passenger_276,male,30.0,1,0,TKT10276,24.93,C165,Q
277,1,2,Passenger_277,female,20.0,4,3,TKT10277,92.62,C96,S
278,1,3,Passenger_278,female,32.0,3,0,TKT10278,36.41,,C
279,1,3,Passenger_279,female,,4,3,TKT10279,69.51,,Q
280,1,2,Passenger_280,female,49.0,0,1,TKT10280,55.67,C172,Q
281,1,1,Passenger_281,female,45.0,0,3,TKT10281,45.43,C175,C
282,0,2,Passenger_282,male,5.0,2,3,TKT10282,123.8,,C
283,0,3,Passenger_283,male,12.0,1,0,TKT10283,90.64,C39,C
284,1,2,Passenger_284,male,20.0,4,3,TKT10284,25.06,,Q
285,1,3,Passenger_285,female,41.0,1,1,TKT10285,52.06,,S
286,0,1,Passenger_286,female,30.0,4,1,TKT10286,230.01,,
287,1,1,Passenger_287,male,25.0,3,2,TKT10287,57.4,C153,S
288,0,2,Passenger_288,female,17.0,3,2,TKT10288,117.99,,S
289,1,1,Passenger_289,male,28.0,2,0,TKT10289,121.15,,Q
290,1,1,Passenger_290,male,11.0,0,3,TKT10290,142.32,,S
291,0,3,Passenger_291,male,24.0,4,1,TKT10291,44.84,,S
292,1,3,Passenger_292,female,,2,1,TKT10292,38.62,,C
293,1,1,Passenger_293,female,,0,3,TKT10293,51.93,C66,S
294,0,2,Passenger_294,female,32.0,0,0,TKT10294,127.64,,S
295,1,1,Passenger_295,male,42.0,2,3,TKT10295,298.75,,C
296,1,3,Passenger_296,female,13.0,3,3,TKT10296,68.32,,S
297,0,3,Passenger_297,male,13.0,3,1,TKT10297,64.49,C187,C
298,0,3,Passenger_298,male,39.0,0,3,TKT10298,47.07,C174,S
299,0,3,Passenger_299,male,8.0,3,1,TKT10299,51.28,C143,Q
300,1,3,Passenger_300,male,27.0,1,3,TKT10300,89.05,,S
301,0,2,Passenger_301,male,33.0,1,0,TKT10301,73.42,,Q
302,0,1,Passenger_302,female,49.0,3,0,TKT10302,176.87,,S
303,0,1,Passenger_303,male,42.0,1,3,TKT10303,107.92,,Q
304,0,2,Passenger_304,male,25.0,2,2,TKT10304,110.63,C191,S
305,0,3,Passenger_305,male,23.0,3,1,TKT10305,48.74,,S
306,0,3,Passenger_306,male,,4,1,TKT10306,100.48,C150,S
307,1,1,Passenger_307,male,41.0,4,2,TKT10307,160.63,,C
308,1,3,Passenger_308,female,52.0,3,1,TKT10308,16.19,,Q
309,0,3,Passenger_309,female,23.0,2,2,TKT10309,96.12,,S
310,1,3,Passenger_310,female,23.0,4,3,TKT10310,61.58,C137,Q
311,0,1,Passenger_311,female,26.0,0,1,TKT10311,88.01,,S
312,0,1,Passenger_312,male,29.0,3,0,TKT10312,194.93,,Q
313,1,3,Passenger_313,female,42.0,2,0,TKT10313,3.41,C114,C
314,1,3,Passenger_314,female,23.0,4,1,TKT10314,81.31,,S
315,1,2,Passenger_315,male,32.0,2,1,TKT10315,27.77,C11,C
316,1,1,Passenger_316,female,,4,2,TKT10316,156.48,C135,Q
317,0,2,Passenger_317,male,45.0,4,3,TKT10317,17.2,,S
318,1,3,Passenger_318,female,36.0,0,0,TKT10318,70.37,C63,C
319,0,2,Passenger_319,female,59.0,4,2,TKT10319,6.91,,Q
320,0,3,Passenger_320,male,13.0,0,1,TKT10320,101.27,,Q
321,1,3,Passenger_321,male,34.0,3,0,TKT10321,78.33,,S
322,0,3,Passenger_322,male,21.0,4,1,TKT10322,95.08,,
323,1,1,Passenger_323,male,52.0,4,0,TKT10323,220.9,,S
324,1,3,Passenger_324,male,30.0,3,3,TKT10324,42.42,,Q
325,1,3,Passenger_325,female,,2,0,TKT10325,58.59,,Q
326,0,2,Passenger_326,male,57.0,2,1,TKT10326,66.31,,Q
327,1,3,Passenger_327,female,,0,3,TKT10327,67.89,,S
328,0,2,Passenger_328,female,43.0,1,0,TKT10328,46.79,,S
329,0,3,Passenger_329,male,6.0,1,0,TKT10329,34.06,,S
330,1,3,Passenger_330,female,19.0,2,2,TKT10330,51.79,C36,S
331,0,3,Passenger_331,male,27.0,0,0,TKT10331,85.04,C142,Q
332,1,2,Passenger_332,female,10.0,1,2,TKT10332,23.63,,Q
333,0,3,Passenger_333,male,,4,1,TKT10333,77.21,C60,C
334,1,1,Passenger_334,female,36.0,1,2,TKT10334,125.1,,C
335,1,2,Passenger_335,female,13.0,3,2,TKT10335,93.11,C133,S
336,1,3,Passenger_336,female,21.0,4,0,TKT10336,53.31,,S
337,1,3,Passenger_337,male,40.0,1,3,TKT10337,84.89,,Q
338,1,2,Passenger_338,female,45.0,1,1,TKT10338,23.75,,Q
339,0,3,Passenger_339,male,48.0,0,2,TKT10339,98.78,C44,S
340,1,1,Passenger_340,female,25.0,4,1,TKT10340,197.11,,Q
341,1,1,Passenger_341,male,24.0,4,3,TKT10341,259.37,,Q
342,0,3,Passenger_342,male,35.0,1,0,TKT10342,93.65,,Q
343,1,3,Passenger_343,female,44.0,2,0,TKT10343,45.52,C73,C
344,1,1,Passenger_344,female,23.0,0,0,TKT10344,165.43,,C
345,0,3,Passenger_345,male,23.0,3,2,TKT10345,64.55,,Q
346,0,3,Passenger_346,male,21.0,3,2,TKT10346,102.99,C169,Q
347,0,1,Passenger_347,male,,4,3,TKT10347,246.99,,Q
348,0,3,Passenger_348,male,1.0,4,3,TKT10348,11.08,,C
349,1,3,Passenger_349,female,23.0,0,1,TKT10349,67.45,C133,C
350,0,3,Passenger_350,male,,1,1,TKT10350,70.89,,C
351,1,2,Passenger_351,female,23.0,0,0,TKT10351,143.87,C90,Q
352,1,3,Passenger_352,female,17.0,1,3,TKT10352,96.99,,Q
353,1,3,Passenger_353,female,53.0,4,2,TKT10353,72.95,C199,C
354,1,3,Passenger_354,female,21.0,3,0,TKT10354,28.4,,C
355,1,1,Passenger_355,female,46.0,2,1,TKT10355,94.23,,C
356,1,2,Passenger_356,female,25.0,4,2,TKT10356,31.11,,Q
357,1,2,Passenger_357,male,,4,2,TKT10357,27.01,C127,S
358,0,2,Passenger_358,male,39.0,2,3,TKT10358,140.65,C131,Q
359,0,2,Passenger_359,male,41.0,4,0,TKT10359,80.07,,C
360,1,3,Passenger_360,female,42.0,0,1,TKT10360,40.82,,S
361,0,2,Passenger_361,male,11.0,3,3,TKT10361,35.36,,Q
362,0,3,Passenger_362,male,33.0,0,2,TKT10362,84.17,,Q
363,0,3,Passenger_363,male,32.0,4,2,TKT10363,82.25,,C
364,0,2,Passenger_364,male,21.0,2,3,TKT10364,131.59,,S
365,1,3,Passenger_365,female,37.0,4,1,TKT10365,60.97,C91,Q
366,0,3,Passenger_366,female,30.0,3,2,TKT10366,49.42,,S
367,1,2,Passenger_367,female,41.0,2,2,TKT10367,95.82,C93,C
368,1,1,Passenger_368,female,36.0,0,1,TKT10368,229.13,C54,Q
369,1,3,Passenger_369,male,56.0,0,3,TKT10369,55.57,,S
370,1,2,Passenger_370,female,41.0,2,3,TKT10370,99.05,,S
371,1,3,Passenger_371,female,2.0,4,3,TKT10371,15.88,,Q
372,1,3,Passenger_372,female,35.0,4,2,TKT10372,94.87,,C
373,1,3,Passenger_373,female,29.0,1,2,TKT10373,31.36,C123,Q
374,1,3,Passenger_374,female,30.0,0,2,TKT10374,21.33,C166,Q
375,1,2,Passenger_375,female,28.0,4,2,TKT10375,46.72,,Q
376,1,1,Passenger_376,male,44.0,3,3,TKT10376,89.59,,Q
377,1,1,Passenger_377,male,41.0,3,0,TKT10377,77.55,,S
378,1,3,Passenger_378,female,28.0,0,2,TKT10378,10.27,,S
